Id,OrderId,ProductId,UnitPrice,Quantity
4328,802,22,76.00,4
4329,802,24,58.00,10
4330,802,65,51.00,1
4331,802,27,71.00,8
4332,802,22,76.00,10
4333,802,27,71.00,2
4334,802,68,95.00,3
4335,803,23,51.00,8
4336,803,22,76.00,7
4337,803,23,51.00,3
4338,803,35,51.00,1
4339,803,44,33.00,1
4340,803,59,64.00,10
4341,804,33,23.00,9
4342,804,42,57.00,9
4343,804,67,34.00,1
4344,804,31,77.00,9
4345,804,30,48.00,2
4346,804,60,36.00,7
4347,805,23,51.00,8
4348,805,35,51.00,1
4349,805,38,66.00,1
4350,805,29,86.00,2
4351,805,26,47.00,4
4352,805,28,90.00,3
4353,805,27,71.00,7
4354,805,42,57.00,1
4355,805,70,92.00,6
4356,805,28,90.00,9
4357,806,21,87.00,2
4358,806,23,51.00,3
4359,806,46,81.00,3
4360,806,43,12.00,7
4361,806,65,51.00,7
4362,806,29,86.00,3
4363,806,28,90.00,3
4364,807,41,34.00,9
4365,807,25,85.00,4
4366,807,68,95.00,2
4367,807,32,37.00,6
4368,807,38,66.00,9
4369,807,31,77.00,9
4370,807,21,87.00,1
4371,808,68,95.00,2
4372,808,42,57.00,1
4373,808,41,34.00,10
4374,808,70,92.00,9
4375,808,65,51.00,5
4376,809,70,92.00,8
4377,809,42,57.00,9
4378,809,66,83.00,4
4379,809,42,57.00,2
4380,809,60,36.00,4
4381,809,33,23.00,7
4382,809,32,37.00,9
4383,809,21,87.00,4
4384,809,59,64.00,2
4385,810,67,34.00,10
4386,810,41,34.00,9
4387,810,69,25.00,8
4388,810,60,36.00,10
4389,810,42,57.00,2
4390,811,44,33.00,1
4391,811,37,70.00,9
4392,811,60,36.00,4
4393,811,26,47.00,1
4394,811,66,83.00,2
4395,811,25,85.00,2
4396,811,23,51.00,5
4397,811,43,12.00,5
